Symbol,Price,Time
AVTNPL.NS,67.51,2026-01-02 22:47:50
AWFIS.NS,493.9,2026-01-02 22:47:51
AWHCL.NS,492.65,2026-01-02 22:47:51
AWL.NS,236.27,2026-01-02 22:47:51
AXISBANK.NS,1266.9,2026-01-02 22:47:51
AXISCADES.NS,1373.8,2026-01-02 22:47:52
AXITA.NS,11.74,2026-01-02 22:47:52
AYMSYNTEX.NS,170.22,2026-01-02 22:47:52
AZAD.NS,1652.8,2026-01-02 22:47:52
BAFNAPH.NS,151.15,2026-01-02 22:47:53
BAGFILMS.NS,6.27,2026-01-02 22:47:53
BAIDFIN.NS,11.06,2026-01-02 22:47:53
BAJAJ-AUTO.NS,9502.5,2026-01-02 22:47:53
BAJAJCON.NS,267.35,2026-01-02 22:47:53
BAJAJELEC.NS,479.35,2026-01-02 22:47:54
BAJAJFINSV.NS,2038.4,2026-01-02 22:47:54
BAJAJHCARE.NS,418.6,2026-01-02 22:47:54
BAJAJHFL.NS,96.62,2026-01-02 22:47:54
BAJAJHIND.NS,18.68,2026-01-02 22:47:55
BAJAJHLDNG.NS,11181.0,2026-01-02 22:47:55
BAJAJINDEF.NS,357.3,2026-01-02 22:47:55
BAJEL.NS,174.51,2026-01-02 22:47:55
BAJFINANCE.NS,990.45,2026-01-02 22:47:56
BALAJEE.NS,40.35,2026-01-02 22:47:56
BALAJITELE.NS,107.3,2026-01-02 22:47:56
BALAMINES.NS,1110.0,2026-01-02 22:47:56
BALAXI.NS,27.06,2026-01-02 22:47:57
BALKRISHNA.NS,18.47,2026-01-02 22:47:57
BALKRISIND.NS,2368.6,2026-01-02 22:47:57
BALMLAWRIE.NS,184.43,2026-01-02 22:47:57
BALPHARMA.NS,73.25,2026-01-02 22:47:58
BALRAMCHIN.NS,438.55,2026-01-02 22:47:58
BALUFORGE.NS,596.4,2026-01-02 22:47:58
BANARBEADS.NS,127.4,2026-01-02 22:48:00
BANARISUG.NS,3602.4,2026-01-02 22:48:01
BANCOINDIA.NS,708.7,2026-01-02 22:48:01
BANDHANBNK.NS,144.46,2026-01-02 22:48:01
BANG.NS,48.17,2026-01-02 22:48:01
